Model,K,Value
Frequency, 10, 0.04268733806426925
Frequency, 20, 0.07817847410068222
Frequency, 50, 0.16544932762018003
Genre Baseline, 10, 0.08813351998105613
Genre Baseline, 20, 0.15798747476646555
Genre Baseline, 50, 0.29117978228825936
Personalised Genre, 10, 0.10289447098300475
Personalised Genre, 20, 0.1689393116100391
Personalised Genre, 50, 0.29586199165923693
LDA, 10, 0.14546553163219608
LDA, 20, 0.23621379285292846
LDA, 50, 0.4022641725785127
Clustering+LDA, 10, 0.07485962490975234
Clustering+LDA, 20, 0.13140749623665895
Clustering+LDA, 50, 0.25836414151354553
